"","V1","V2","V3"
"result.337",72304,0.8,0.85
"result.338",72335,0.7,0.8
"result.339",72737,0.4,0.9
"result.340",73267,0.7,0.8
"result.341",73593,0.7,0.85
"result.342",73938,0.6,0.8
"result.343",73943,0.55,0.8
"result.344",74125,0.8,0.9
"result.345",74232,0.55,0.8
"result.346",74422,0.65,0.85
"result.347",74697,0.7,0.85
"result.348",74745,0.5,0.8
"result.349",75280,0.85,0.95
"result.350",75477,0.8,0.95
"result.351",76069,0.5,0.75
"result.352",76375,0.7,0.9
"result.353",76395,0.65,0.8
"result.354",76499,0.75,0.8
"result.355",76554,0.75,0.85
"result.356",76574,0.65,0.8
"result.357",76713,0.7,0.75
"result.358",77048,0.4,0.4
"result.359",77055,0.7,0.75
"result.360",77393,0.75,0.9
"result.361",77552,0.7,0.9
"result.362",78307,0.55,0.8
"result.363",78448,0.65,0.75
"result.364",78472,0.8,0.85
"result.365",78773,0.7,0.75
"result.366",78870,0.7,0.85
"result.367",79493,0.4,0.95
"result.368",82029,0.85,0.95
"result.369",82130,0.8,0.9
"result.370",82986,0.7,0.9
"result.371",83117,0.5,0.8
"result.372",83490,0.7,0.85
"result.373",83547,0.6,0.8
"result.374",84132,0.9,0.9
"result.375",84332,0.7,0.85
"result.376",84534,0.85,0.9
"result.377",84536,0.65,0.85
"result.378",86196,0.75,0.9
"result.379",86542,0.65,0.85
"result.380",86544,0.6,0.75
"result.381",86845,0.65,0.85
"result.382",86849,0.7,0.8
"result.383",86906,0.85,0.9
"result.384",87375,0.8,0.95
"result.385",87945,0.75,0.9
"result.386",87949,0.8,0.9
"result.387",88079,0.8,0.95
"result.388",88107,0.75,0.9
"result.389",88113,0.7,0.75
"result.390",88275,0.8,0.95
"result.391",88483,0.75,0.9
"result.392",88495,0.7,0.85
"result.393",88610,0.8,0.85
"result.394",88613,0.7,0.8
"result.395",89929,0.7,0.85
"result.396",91185,0.7,0.9
"result.397",91459,0.75,0.9
"result.398",91769,0.75,0.85
"result.399",92035,0.75,0.85
"result.400",92056,0.75,0.85
"result.401",92163,0.85,0.9
"result.402",92287,0.8,0.9
"result.403",92301,0.45,0.75
"result.404",92323,0.75,0.9
"result.405",92327,0.75,0.85
"result.406",92338,NA,0.4
"result.407",92386,0.7,0.9
"result.408",92421,0.85,0.9
"result.409",92467,0.75,0.9
"result.410",92485,0.5,0.9
"result.411",92652,0.7,0.85
"result.412",92859,0.7,0.9
"result.413",92861,0.5,0.75
"result.414",92964,0.75,0.95
"result.415",93118,0.65,0.85
"result.416",93120,0.7,0.9
